01. 01. 2010		  10e1c0 19857.21884219925
01/01/2010	    	 4f7316 1.8083e+04
2010-06-04	      24d94a 1.2736e+03
06/04/2010 : 747e10 1.6429e+04
05. 06. 2010	  227c36  1.0327e+04
05. 06. 2010 	7a6d80 	 1.7928e+04
06/05/2010 	     420983  1.7392e+04
05.06.2010 	  	22912e	  795.8889559735302
05. 06. 2010     	56eb79 	 1.7895e+04
2010-06-05      	76d15c   1.0963e+02
05. 06. 2010    :    3967bd 1.8712e+04
2010-06-05 	  71e4b5 7.3392e+02
05. 06. 2010  62d0cd 	4.2732e+02
2010-06-05  		8924a7	 	324.29432762834756
2010-06-05      4786e2  	 1.6786e+04
05. 06. 2010	   	058d4f	1.1721e+04
06/05/2010   	 11197e    2.9545e+02
05.06.2010     4ce42c  2.7514e+02
2010-06-05 :	 	 284085  1.2387e+04
2010-06-05 	  69881f	1.1655e+04
2010-06-06    	28150b	6.3343e+02
2010-06-06 	    18d8d0    1.1341e+04
06. 06. 2010       	42f715 1.1604e+04
2010-06-06      	87a1c6    1.5000e+03
06/06/2010  :	  	606fb8 1.4614e+04
06. 06. 2010   5a06ce  3.3127e+02
06. 06. 2010  	 1c9a2e	  5.7681e+02
2010-06-07   	   	378f2d   1.3239e+04
07. 06. 2010   2d0275 1.4925e+02
06/07/2010		  04204a  	 1.9935e+02
07.06.2010		   	 374228 	1.1991e+03
2010-06-07	 1f2c49 10120.557078237509
06/08/2010  	   424f14  5.0687e+02
08. 06. 2010       0f2943   566.820000705835
2010-06-08	 258fb5	 1.6624e+03
2010-06-08		 	 328bcd	1.3239e+04
2010-06-08	      70fd4f 	1.5497e+04
08. 06. 2010   	  50d5fe   	14753.2642859279
08. 06. 2010  :   653c8f 4.9643e+01
2010-06-08	 071558	 		1.2695e+04
2010-06-09    		 28c175 6.3676e+01
06/09/2010  	  	780234	 5.7849e+02
2010-06-09	  	  41dbd3	195.41973479153762
2010-06-09    29a02c 1.2381e+03
2010-06-09   6d52fe 	1.3607e+04
2010-06-09     8b67b7  	 5.7825e+02
09.06.2010  	 	  201eeb   8.0028e+01
09. 06. 2010  	  44a986 	5.8454e+02
2010-06-09  22ba9d  1.7609e+04
06/09/2010   	   19cb53  1.5331e+04
2010-06-10   	    3f4ca5	 1.6953e+04
2010-06-10	 	  29c9ea 	1.1527e+03
2010-06-10  		  5eb09e	9.4093e+02
2010-06-10  	837f7b	1252.8796892199307
06/10/2010        959f6f    553.2837985944626
2010-06-10     6987ed	  1302.5488754925723
10.06.2010   	86d30d   1.2975e+03
2010-06-10   28f42a   12469.4795310406
2010-06-10	    2bb7c5    22.56615550195751
2010-06-10 	  6ff770 2.0956e+02
06/10/2010   46b8f3    214.60838129578514
2010-06-10  	 25cdf6  4.3130e+02
06/10/2010   			47adc4	  1.6052e+04
2010-06-10   634ca4 19426.143495967113
2010-06-10 	 	849d23 	1.5875e+04
2010-06-10  	 369668  	 2.9066e+02
2010-06-11		 69fbab 1.1066e+03
11.06.2010 	   6c3e72	 1.2778e+04
2010-06-11 	:		 2c2f39    637.288979349524
11.06.2010	 	   0a01e4 1.8512e+04
12. 06. 2010  		  495bba  1.9722e+04
2010-06-12 		  6a972c    902.5664556278413
2010-06-12       66c624   1.8057e+04
12.06.2010 		  	 27dfd8   110.26622898896257
2010-06-12    	 2f50a6 9.1116e+02
2010-06-12       33cfc7 5.9091e+02
12. 06. 2010	      8df63f 3.0820e+02
2010-06-12	    584acb  5.6752e+02
2010-06-12   018a4c  1.4961e+04
2010-06-12   	  18d61d 	 1.6073e+04
12.06.2010  	 5e5ff4	  	4.1648e+02
12. 06. 2010  			 710f33 1.4631e+04
2010-06-12      7c7020	 	 1.0900e+04
2010-06-12 	 357cae  	1.0375e+04
06/12/2010    :   	60f168   1.4200e+03
2010-06-12  	  57cff2  641.0721748136425
2010-06-13  	 	3655e9    1.3372e+04
13.06.2010 	 	 1f841b 1.4440e+03
06/13/2010      635825  3.8277e+02
06/13/2010   		37fe8f    1.1090e+03
13. 06. 2010	     5b92ed		  1.1048e+03
06/13/2010 		 39b860   1104.670371595661
13.06.2010	      0b9062 1.6915e+04
13.06.2010      4aa0df 7.5568e+02
06/13/2010 		59799c  1.4084e+03
2010-06-13    07d60a   	1.0307e+04
06/13/2010  		842725   1.7626e+04
13. 06. 2010   	  48adcb  3.7976e+02
2010-06-13    3b08fb    3.9998e+02
2010-06-13        48c066 	  9.8618e+02
2010-06-13    05cb4c	 4.2161e+02
06/13/2010	    	3b3cbb 	18098.78070966414
2010-06-14 	 947f2e  14403.406452948968
2010-06-14	    7ad341  	4.8589e+02
06/14/2010	 	   20b214 	310.06481587143776
14. 06. 2010   320cc6  	 1.9174e+04
06/14/2010 	   77ea8e 1.4335e+03
14.06.2010     	012ba0   1226.4440502066602
14. 06. 2010    	57b18e  1.3981e+04
06/14/2010		8235dd   1.1371e+03
2010-06-14  	7f2eae  		1.3459e+04
14.06.2010  	   22b1d6 1.4668e+02
2010-06-14    	01c74c	   7.2229e+02
2010-06-14  	  	12606c   5.7392e+02
2010-06-14      	54b5ea   1.4888e+04
2010-06-14     95611c    13658.507695102338
2010-06-14    		6fcbb5 1.3593e+04
14.06.2010  	 	057193  9.1521e+02
06/14/2010  35ae8f  1.4029e+03
2010-06-14	     4de8d4	   1.7079e+04
2010-06-15   	 005485 8.5058e+02
2010-06-15  	88ff89	   1.6174e+04
2010-06-15	   : 683a12  1.7441e+04
2010-06-15   	   48e86e 	 1.1903e+04
06/15/2010  	 2b3bca   525.9482427582342
15. 06. 2010     	3f2f6e  1.1331e+04
06/15/2010   	 2bf080  	9.8252e+02
15. 06. 2010 	    6a4ff2	   5.8515e+02
2010-06-15 :  		461999	 1.1128e+04
15.06.2010      56295d  1.9555e+04
15. 06. 2010   		 		4045ca   	1.4788e+04
15. 06. 2010      1b18ef  1.4150e+03
06/16/2010  :  89ec1b 6.5690e+02
06/16/2010 	    3a4808 	  1.0002e+03
2010-06-16 	  7132ad 	 1.7256e+04
2010-06-16 	  197b83 1.9083e+04
2010-06-16	   645d68  6.4286e+02
2010-06-16  	 76fe23  1.1214e+04
2010-06-16     	513ffc 	  1.5335e+03
06/16/2010     43aa5d   1.7689e+04
2010-06-16   3a3197	1.0955e+03
06/16/2010	    	 73ffa7   6.1004e+02
2010-06-16 	38cb25  	 1.4464e+03
06/16/2010     1a10df 9.8668e+02
17. 06. 2010     6865a1 	1.3296e+04
2010-06-17   	  1aac71    1483.6501293118945
2010-06-17 : 	  192c74 	 	1.3356e+04
2010-06-17     	2b57fa	 17401.090969596087
17. 06. 2010 	  3345ba  1.2219e+04
17. 06. 2010 	      282fae 1.8057e+03
2010-06-17  	 		 072645 8.6967e+01
18. 06. 2010  	:  11bdee   	1.1686e+03
06/18/2010 	  613fbc  	1.1193e+03
2010-06-18	 	3d23df 	 1.0506e+04
2010-06-18      621218    1.9624e+04
2010-06-18  	 	  0c04ce 469.4875347714081
18. 06. 2010     655eec  1.2489e+03
06/18/2010	  4604e3	  618.4282805580945
2010-06-18  	 :	 3058e0  	 2.2423e+02
2010-06-18    	  1b36d7  1.5865e+04
18.06.2010      1c7efc		  17212.778600922054
2010-06-18   : 2b13cf 13801.964680447503
06/18/2010     2c99fe	 1.6305e+04
2010-06-18     6553da 1.1138e+04
2010-06-18		 086fba		  12934.13814476425
2010-06-18     972d02	   1.8708e+04
2010-06-19 	   	25026b		  14972.932310613944
19. 06. 2010	    2bd61f 	 15123.671745428095
19.06.2010 :  609fe0			1107.3869807791482
2010-06-19    92186e 1.0474e+03
2010-06-19     4ee7bb		 1.2894e+04
06/19/2010  	   87a9e8 7.4271e+02
19. 06. 2010 	   5bb732 	 1.5704e+04
2010-06-19 	   387bc6	688.2389733478005
2010-06-19   69c69d  1.4874e+04
06/20/2010    	446386 1205.3272023691081
2010-06-20  	  64838f   1.7243e+04
20.06.2010		  	 95a7ca	  	7.6206e+01
06/20/2010	   353d47 17060.505603078218
06/20/2010     		214123    1.8368e+04
20.06.2010		 	  6f9674  	 1.6712e+04
06/20/2010   5c938d   3.1509e+02
2010-06-20    84f712 1.4021e+04
2010-06-20  		   42a01d   	4.2517e+02
21. 06. 2010     	7cd2c5 5.4122e+02
21.06.2010   	 183561 3.4319e+02
06/21/2010	  93b675  	 1.0944e+04
2010-06-21  	 1339ce  1.7752e+04
2010-06-21   49db7c	1.6749e+04
06/21/2010   7f8fe3 	 17250.92044340536
2010-06-21    	  56721c 1.5338e+04
21.06.2010    83d44f  1.9040e+04
21.06.2010      	61b618    1.1374e+03
2010-06-21		  	  208ffd	 		1.4930e+04
21.06.2010  	  4d03fb 1.2505e+04
06/21/2010    234da1  1.3693e+03
06/22/2010   2de7c3  1.2759e+03
2010-06-22     4a7646	   1.1232e+04
22.06.2010      6a1d1c 	16851.826160870925
2010-06-22	     	 511f4d    5.0129e+02
22.06.2010 	   33c8d7 9.9590e+02
2010-06-22   55e003  1.6866e+04
06/22/2010   	    8e9f53 1.3225e+04
22.06.2010	     7285d5 1.9230e+02
22.06.2010  046c16  1.9947e+04
06/22/2010  	 08d83b   1135.889606598474
06/23/2010  627aa4 	5.2072e+02
2010-06-23    	 7de931  	2.4431e+02
23.06.2010 	   6c17db   1128.5123495226046
23.06.2010 	 	904629 	 1.4736e+04
23.06.2010   77bba7   1.1681e+03
23. 06. 2010	   2fc19f 1.5750e+04
2010-06-23  			   97d60c	3.1733e+02
23. 06. 2010      7a9827  18628.158988076775
2010-06-23        8ab7f4	1.3301e+03
23.06.2010   1b16e5  	4.9607e+02
06/23/2010 		 293e1a   	1.7545e+04
23. 06. 2010 	 6f0103 15954.793878876224
2010-06-23   	 23fdc4    1.4094e+04
2010-06-24 	 		5aabc7    1.5611e+04
2010-06-24       42003c		 556.5481273886378
06/24/2010   3b5533  	1.5163e+04
2010-06-24   58df47  	 1.2149e+03
06/24/2010    54e08b    3.4513e+02
2010-06-24   		  1f62c4 	 4.7692e+02
2010-06-24    	317855  		7.1682e+02
24. 06. 2010			   	 61abdf 1.7593e+02
2010-06-24    : 	6d5a42 9.1208e+02
2010-06-24	:	 	3068ab	   1.1199e+03
24. 06. 2010			   	 264c0a   	1.5633e+04
2010-06-24    	  3ca918  2.3585e+02
24.06.2010    31e814 	1.0275e+03
24. 06. 2010      8ecbf6 	 1.7148e+04
06/24/2010  	  	10c425 2.0778e+02
06/24/2010   	10ff0a 8.7189e+02
2010-06-24    	 2e5eed  	2.5541e+02
06/24/2010 		   	0e595b 5.0407e+02
2010-06-24     7e2022 1.5157e+04
24.06.2010 	    260dc4	 1.5141e+02
06/25/2010		 4c74d5  400.5387352323858
06/25/2010   		  7e934c    1.2005e+04
2010-06-25	   : 5892f0   257.04007279620237
2010-06-25    	 746909	  1.1650e+04
25. 06. 2010     471959	   7.0333e+01
2010-06-25 	   361218 1.5475e+04
2010-06-25    1809d8  	4.4897e+02
25. 06. 2010 	  :    484eee	 1.8031e+04
25.06.2010   	 483d1c   9.1720e+01
2010-06-25      66b6e5	 	1.1454e+04
06/25/2010     8aadfa		506.3174409906367
2010-06-25      46e0eb	1.2758e+03
25.06.2010 	  	2f4a9a  1.9591e+04
2010-06-25       23b6ba 10765.96627462462
06/25/2010     		 3f81fd		12516.321497429135
2010-06-26      	 97511b    7.2158e+02
26.06.2010 	954fd9  1.9888e+04
26.06.2010	    16155a    1.3099e+03
26.06.2010    2ebd8b 	1.0563e+04
06/26/2010	 3c23b3  1.7605e+04
26.06.2010  	  5eb0fa 1.0909e+03
26. 06. 2010 	 	 	6aebdb  	 1.2938e+04
2010-06-26	  81058b    1.7708e+04
26.06.2010	  7a3b50  12832.920851255398
2010-06-27     10563e 1.8710e+04
2010-06-27  	   3fcb02    1.6905e+04
27. 06. 2010 	  37571c  6.6363e+01
27. 06. 2010  6a5d24    1.2546e+04
06/27/2010  8648e9	 	 558.4338633978955
27.06.2010   341a79		 	1.3200e+03
2010-06-27 	 59c938 1.5432e+04
2010-06-27     81a09a   1.1769e+04
06/27/2010    1b6922  17621.1115182245
06/27/2010   0be3c2    1.5021e+04
2010-06-27    	985f84  1.6332e+04
27. 06. 2010     8a2ee6  	914.0071294170936
06/27/2010   		  163a7b 19098.596873687846
2010-06-27    		 	8d95da   4.9022e+02
28.06.2010      3a9eb3		 3.8857e+01
06/28/2010    		4df6a7 	  1.6598e+04
2010-06-28  	  	 	7550c4	1.1781e+03
06/28/2010     00586b 	1.3566e+03
28.06.2010	  		 84481e 	9.2737e+02
2010-06-28 	   8b8bc2  	 1.9387e+04
28.06.2010  	 5af4dd    1790.404327045114
06/28/2010     714b50  10616.115379718256
28. 06. 2010    1d8bee 440.59692493525563
2010-06-28  	 31890f	1.9576e+04
2010-06-28    	4839c4    1.2241e+02
2010-06-28      641f20 		 9.1711e+02
28.06.2010   	 8349fe 	 12776.54117213145
2010-06-28    	76d297 1.6330e+01
06/29/2010	  		 	4e9e7c 559.0907871208619
29. 06. 2010        214b38  	 7.4511e+02
2010-06-29  	5504b9 15578.959759889385
2010-06-29  	 	0bcd10  1.3303e+04
2010-06-29 	   8ada0f  1.0161e+04
29.06.2010	   	0df36f 	  16908.833039762558
29.06.2010     5667ce 1.2872e+04
29.06.2010     	 7913a3	1.9540e+04
06/29/2010    		  57fd51 1.1360e+04
2010-06-29  841717	5.9465e+00
30. 06. 2010					  09ac01    291.3544385273791
06/30/2010  	 6fdbcc 2.9784e+02
2010-06-30		 	  75eb32	 	17251.036448906998
30.06.2010 : 734455 	 	1.8652e+04
2010-06-30     	 	0a4e0b    1.8080e+04
2010-06-30     5481fd	 1.8009e+04
2010-06-30  	 	43a368  749.9498338870927
30. 06. 2010   93dd9d 1.4272e+04
2010-06-30    	7d1fcd    1.0514e+04
06/30/2010  	  4786e2 2.8157e+02
30.06.2010    8e739b   1.1726e+04
30.06.2010    7b7c0e	838.5257706267805
06/30/2010    012cd4 10871.261512468871
30. 06. 2010 	  	 2172d5 1.5034e+04
06/30/2010	  	 830f3d  1.2594e+02
30.06.2010  	 	18e54b   1.7646e+04
2010-07-01     95f581 7.5993e+02
07/01/2010   		 208aaf	1.0970e+04
07/01/2010 		 70e4e7  1.1959e+03
2010-07-01	    761b1f   1.6144e+04
2010-07-01  	 :    3567ab 	 1.4305e+03
01.07.2010			 	5d32d3	   1412.6371919728076
2010-07-01		  809fb4  	 992.2066018687708
2010-07-01        30a292	37.420207000902444
2010-07-01		475af1	5.4284e+01
01.07.2010 	 8437fa    7.0979e+02
07/01/2010   	 34847e	  14330.30713742098
02. 07. 2010	     4645a4  2.8217e+02
02.07.2010 	    126928 1.8813e+04
2010-07-02  	   6a5e04  	 1.0734e+04
02.07.2010	   22a9de   5.2496e+02
2010-07-02    	 3a7569   8.0327e+02
2010-07-02     1bc666 6.7281e+02
2010-07-02   628015	 1.1659e+04
02.07.2010     	  6b76fc	  1619.0740989662272
02. 07. 2010 	  69f8e5 1.2837e+04
2010-07-02 :    049dac	   12423.034954060598
07/02/2010    70fd4f   646.3970155683683
2010-07-02     689fef  1.6085e+04
2010-07-02 	  1b6722 	482.82452589207924
2010-07-03    	 2cdfc6   1.1166e+04
03.07.2010  	     211566    14683.488474851303
07/03/2010	  93b32a 1.1199e+04
2010-07-03    	5505e6   	1.0417e+03
07/03/2010 		 5cc5b2  9.5303e+02
03.07.2010 	  	 7de905    1.6751e+04
03.07.2010  	 	70cbfe  5.9544e+02
2010-07-03     	6014c7  18067.221963521846
03.07.2010  	  5622a8   1.1832e+03
2010-07-03    3112ee	1.1895e+03
2010-07-03	   38905e 3.3915e+02
07/03/2010    8d0de9	 1.2710e+04
2010-07-04    	875af5  	 1.9290e+04
07/04/2010     859a85  13735.907171559506
04. 07. 2010  		  0134a4 	 1.9110e+04
04. 07. 2010    :    940697		  1.6396e+04
2010-07-04   5e147f  1.7059e+04
2010-07-04	   3fb2cb    13683.004493302664
2010-07-04	     	 3a8074 1.1140e+04
04. 07. 2010        3a34ca   454.4824667587208
2010-07-04       841e03 1.1115e+03
05.07.2010      2f3969	1.9941e+04
2010-07-05   4176bc   1.1726e+04
07/05/2010	 	000ccd  8.4243e+02
2010-07-05        124a12  12849.415099802596
07/05/2010     52b1b7	1394.132807500305
2010-07-05	 		 	21e95a	1.9380e+04
05. 07. 2010 	   174ffd 6.3633e+02
2010-07-05 		 		82efe6	  802.8128954773169
05. 07. 2010	   		 19ff1e 1.0841e+04
05.07.2010     5f7f25 1.2794e+04
06. 07. 2010	  	 	 37f9de 	1.3138e+04
06.07.2010      8adfce    880.6613600452777
2010-07-06  	 		 	79951c 	 5.1208e+02
06. 07. 2010     441311 	1.0229e+04
06.07.2010      6ad881   1.3570e+04
2010-07-06	 	 	 30ec1e	 3.5944e+02
06. 07. 2010    	253511   	718.9874727124654
2010-07-06   	 3cb53e 	 7.6012e+02
2010-07-07       7b4a28   	1.3156e+02
2010-07-07	  	  55e94f  8.7545e+02
07. 07. 2010     738c74  1.2231e+04
07/07/2010	      3e60fd 2.8402e+02
2010-07-07   	    79684f  	1.8188e+03
2010-07-07    008152 6.9516e+02
07. 07. 2010  		  06d6f0  1.8312e+04
2010-07-07	 	 560579 		 17610.028585028394
2010-07-07     42f715  3.8413e+02
2010-07-07		 	940387   1.6806e+04
2010-07-07  	 31ad88  1.0966e+04
07/08/2010      	1738f0  12291.609893075129
2010-07-08  	   78143a 1.7862e+04
2010-07-08  		  	88ff89  1295.7868630716384
2010-07-08  32504f    1.9188e+04
08.07.2010      769707 4.8753e+02
07/08/2010    :  80ae53   4.5809e+02
2010-07-08   : 96362c    1.1958e+04
08. 07. 2010	 		  65b605   1.3835e+04
08.07.2010			     52b0f5  	 1.7917e+04
2010-07-08 		  	  2fb815  1.7747e+04
09.07.2010	    0edaf5  2.8245e+02
09.07.2010		:    4611ab  1.2007e+02
2010-07-09	 398732 8.6294e+02
2010-07-09   	: 		38df10	  15522.1042106546
09. 07. 2010   	 6e693c  1.8612e+04
07/09/2010  	 		 16838d   1.5802e+04
09. 07. 2010      8b0086	  1.0472e+04
09.07.2010  	65fe32 630.5769910432189
2010-07-10 	   	 6d52fe 1.1136e+03
07/10/2010  2d4298    3.5381e+02
2010-07-10     988431  	 1.4629e+04
2010-07-10	      10a96c    1.1971e+04
10. 07. 2010   	   96ea56 2.1008e+02
07/10/2010   120801 1.7087e+04
2010-07-10 		   2a849b   	782.3398695557921
07/10/2010  	   876755  	 1.1537e+04
2010-07-10  0b9062 16.512251692133365
2010-07-11   	562d9f 	  1.9363e+04
2010-07-11 		  41ee56	 14992.210387941474
07/11/2010    : 6a4c55 1.6277e+04
2010-07-11  : 6333ff 1.6881e+04
11.07.2010  	3cd620 1.0585e+02
2010-07-11  	  	2d4f6d   14117.198293758629
2010-07-11   	583966	 1.5943e+04
2010-07-11     19cb53  1.9659e+02
11.07.2010	    334404			7.2799e+02
07/11/2010    8f63ed 1.8028e+04
2010-07-11 	 	  8c8af2	  1.4819e+04
07/11/2010     2e0839 		 3.1870e+02
2010-07-11			  06dc43  1.9268e+04
2010-07-11   :  23835b   4.1489e+02
07/11/2010	: 139513   1.5402e+02
2010-07-11    4b7732   1.1178e+04
2010-07-11      79b2f3 1.6852e+04
2010-07-11		   	0bb3c5	 799.899632437914
2010-07-11     	2fc6b6 1.5377e+04
2010-07-12     299a1d  	6.2172e+02
2010-07-12 		5e8a06   1.2080e+04
2010-07-12    	49cc0f 1.1030e+04
2010-07-12		   35b92a  	7.3527e+02
2010-07-12  	 5203f5 15203.90620275642
12. 07. 2010	    	 13cdbe  1259.3337242627124
12. 07. 2010    67e6ab	  8.0396e+02
12. 07. 2010	 721df6 6.0830e+02
12.07.2010	  	3b3cbb 2.0652e+02
07/12/2010    	  4a7903 	1.0133e+04
12.07.2010	  :  	4cf4cd 1.1872e+02
2010-07-12    719459  1.4254e+04
2010-07-12	  	 8efa73	1.6194e+04
2010-07-12	  47d1c1 3.1992e+02
12. 07. 2010  0b9f84 1.5028e+04
12.07.2010  2c4108   1.9116e+04
2010-07-12   28fdce 9.4708e+01
2010-07-12    363bb6	  144.69148774202355
2010-07-13     056ae3 1.6686e+04
2010-07-13 	62f868    1.0521e+03
07/13/2010 		  	 53905d    4.2558e+02
07/13/2010    5a69f0	9.3502e+02
13. 07. 2010    :	 63c225  1.4907e+03
2010-07-13  	:  136ad3  	1.0337e+04
2010-07-13 	 	  7f2eae	   1.0050e+03
07/13/2010   	   74f44d   1.1322e+03
13. 07. 2010		  4ee7bb 7.0206e+02
2010-07-13   	 7484da  1.5759e+04
13.07.2010 		  500c5e	 	 1.4511e+04
2010-07-13 	   582e70	1.0147e+03
2010-07-13	    8d187a   2.5279e+00
2010-07-14  	 8fda1e	 1.0755e+03
07/14/2010  05919a   7.2841e+02
07/14/2010 	    	 69b8db	18170.236294685503
14.07.2010	  8c737a		 3.6843e+02
2010-07-14	      59e9d7 	 1.6141e+04
2010-07-14     7e1ddf  15824.378163254922
2010-07-14		 	  853f70  16158.012955483347
14. 07. 2010      	 771be1   	1.4000e+04
07/14/2010 	 	   63fa9c		1.1508e+04
07/14/2010     469aa2 	12916.590347259196
07/14/2010     61bbfc 1.4441e+02
2010-07-15  	  	09ca46    15874.38408461183
07/15/2010    2fb06b 1.5888e+04
2010-07-15 	 9774a2 	 11664.667715444275
07/15/2010  	  83d44f 5.4338e+02
2010-07-15   0be60c    1.2466e+04
07/15/2010  	  0cc5a8    7.2464e+02
2010-07-15   		   6865a1 3.7239e+02
07/15/2010    	 	3e9e56 2.1216e+02
2010-07-15  	   	5e2938	  8.1286e+02
15.07.2010	 	  8ccb00  	1.8039e+03
15.07.2010       24b6f0 1.1586e+04
2010-07-15		 	 66647a	 		6.0883e+02
15.07.2010       	0069d3  1.7235e+04
07/15/2010	    1a35ac 		1.4910e+03
2010-07-16  4e5f7c 1.9843e+04
2010-07-16	    38d3a4 1.0116e+04
2010-07-16     953c49	 323.9880107848073
2010-07-16     36c1cd    17953.754296303374
2010-07-16  81ebbd    19990.183490682302
07/16/2010   3df8fc 1.4797e+04
16.07.2010 	  68f869	 2.3419e+02
2010-07-16 			 8a2e2b	 1.4245e+04
07/16/2010   	 	0eb5c2    1.0619e+03
2010-07-16	  2c61ef	3.3789e+02
07/17/2010  	138a1b	  6.4476e+02
2010-07-17		  	7c70be	  9.7202e+02
07/17/2010    	 	6352cf 6.2389e+02
2010-07-17      8fcdd2	   1.9780e+04
17.07.2010  	 		1b36d7  	253.57139462192578
2010-07-17	 55df08	 1.3907e+04
2010-07-17		   18b1fa  8.9755e+02
17.07.2010      473a46  8.7050e+02
2010-07-17	    	203062 1.7223e+04
18.07.2010	  04b983    1.7947e+04
2010-07-18     621218  	1360.2880371458257
2010-07-18    	  74b718    1.0693e+04
18. 07. 2010	    5e5f3c	  1.8679e+04
18. 07. 2010  	  531c01  	 1.7095e+04
2010-07-18	:   52b114    1.3632e+03
18. 07. 2010       07d60a 	1.3099e+02
07/18/2010       3590d3 1.2286e+04
2010-07-18 	   1d97ce 	  1.7937e+03
2010-07-18	  	6cc2cb    1.7050e+03
2010-07-18 	  	  325ba1			1.0050e+03
18.07.2010      068d96    636.2764654672429
07/18/2010    21973a 1.8038e+04
18.07.2010 	7ebca8	   1.3607e+04
19. 07. 2010  	   	 5aabc7	  1.1241e+03
07/19/2010      228fd0 1.7853e+04
2010-07-19    	1613f7   10701.949686300613
2010-07-19     938aaf    6.5835e+02
2010-07-19 	    43e656  1.2290e+03
2010-07-19	  	  86fab2    1.8633e+04
2010-07-19    736f0e 	 1.0589e+03
2010-07-19		57806c   	8.6732e+02
2010-07-19       1a2478    18.52820280155902
07/19/2010       	73abbe    1.3056e+03
07/19/2010  	   	 17c96f    731.603046010421
2010-07-20  7091d4    7.0600e+02
07/20/2010 	 	 41a208    8.1649e+02
2010-07-20   7c10e6 	1.8265e+04
2010-07-20   		3345ba  8.1513e+02
2010-07-20	 	 	8b8bc2   	1.8939e+03
2010-07-20   4279c6 1.2749e+04
20. 07. 2010		  18675c  1.9994e+04
20.07.2010    	49aa40  	17174.951098041227
2010-07-20  	  842725		 7.1677e+02
07/20/2010	   085513 	7.0878e+02
2010-07-21    8fdb26    16086.887044483821
2010-07-21  	  855d56	 1.0617e+04
21.07.2010   :   27620c    383.6442724878293
2010-07-21     25026b  1.1237e+03
2010-07-21	 	   547740    2.4906e+02
2010-07-21 	  05d689 9.9383e+02
07/21/2010   	 	75db7e    4.1702e+02
07/21/2010	 	   195e7b 8.0361e+02
21.07.2010		   8ebbb2  9.3298e+02
2010-07-21   	9195e4   1.3148e+04
2010-07-21      461999    132.35820948172227
2010-07-21   600731  	 1.6002e+04
22.07.2010 	 4cdcf6  	 750.4469278337633
22. 07. 2010 :  	 51c585 10257.720025897517
07/22/2010     434d9f 9.6925e+02
22.07.2010      4132f3	   3.6584e+01
22. 07. 2010 	   50bde7  1.7567e+04
2010-07-22    1865fb 1.8494e+04
22.07.2010		    2a484c   	4.5962e+02
22.07.2010	 	 383075	 1.2291e+03
07/23/2010    249cdb    4.0819e+02
2010-07-23	     504316   1.8840e+04
2010-07-23     	  5e5afd   1.9000e+03
2010-07-23       648915   1.1447e+04
23. 07. 2010   495bba	8.6553e+02
2010-07-23 	     	163a7b 1.3719e+03
23. 07. 2010      47be11 		 623.2237692313876
2010-07-23   		1dc24e  10852.297307963208
2010-07-23   	49fe7a 	 	1.4129e+04
23.07.2010    5ffe0e   	1.7328e+04
2010-07-24    	2f7be8  6.6431e+01
2010-07-24 		 		354885  1.1909e+04
2010-07-24   		 	3ea4ae 1130.3928669685292
2010-07-24      	0b3629  1.2525e+04
24.07.2010   	  7adef3   1.5424e+02
2010-07-24 	   	597ebb  1.2971e+04
24. 07. 2010 : 5a4c04   1.2049e+04
2010-07-24     	240f95    18808.663043884535
2010-07-24 	 	 	851606	   1.7191e+04
2010-07-25 	   484b44			1.9071e+04
2010-07-25   	  734455  	4.9111e+02
2010-07-25    013419 	17891.63719837252
07/25/2010  	   8a0e25 4.0300e+02
2010-07-25     	32aaeb 	  1.2257e+04
07/25/2010       484eee 2.6792e+02
25.07.2010        554f07 1.7716e+04
2010-07-25	  	   700338    1.0262e+04
25.07.2010  : 0de15c	  11384.765739080798
07/25/2010 	     8e9f53 4.2527e+02
25. 07. 2010  21fb2a 		1.4712e+04
2010-07-25  	  867835	 	 1.4505e+03
2010-07-26   6fcbb5 2.9432e+02
07/26/2010 		  108d6e 	  2.4771e+02
2010-07-26      713c0b 	7.7547e+01
26. 07. 2010	   	 1a1112   1.1171e+03
2010-07-26      983bc6    1.4671e+04
07/26/2010		 	 4f0988  983.9907746628398
2010-07-26      41f060 		8.2422e+02
2010-07-26      8ad36b		 1.7143e+02
2010-07-26 	 :  88d260  1.5270e+04
26.07.2010   3f81fd	 9.9727e+01
07/26/2010     907e83 5.6126e+02
26.07.2010   	 904f87	   3.5420e+02
26. 07. 2010		   	811d41	  1851.3081871094887
26. 07. 2010   	:  768e0f 1.6176e+04
2010-07-26   	 71a83b	   18335.52547771948
2010-07-26		  	648370 1.2241e+04
26. 07. 2010 	69ee86	1.1678e+03
07/26/2010		279491    802.479239514071
07/26/2010     07100b	  1.8676e+04
26. 07. 2010 	  3f2f6e    7.4782e+02
2010-07-27     	7283fe 19682.616829051516
2010-07-27	  	 	 40e479 	 19254.219383679774
07/27/2010		  44761e    5.7176e+02
2010-07-27       087151 	 1.8342e+04
07/27/2010 			 4744ad 1.6835e+04
2010-07-27	      8574a3  17985.680242279534
27.07.2010  	  18ba0e  1.5318e+04
2010-07-27  	  54bfc5    1.0167e+04
07/28/2010	   710f33   511.4739388031916
2010-07-28      101776	4.2742e+02
28.07.2010 		    7f423b 		 9.9643e+02
2010-07-28  3b9c50 	 18096.912513266674
29.07.2010 		76960d   2.2739e+02
